RALcode;name;hex
P2 1550 50 50;Soft Dust Grey;#CCCCCC
P2 1560 40 60;Soft Stone Grey;#B3B3B3
P2 1570 30 70;Soft Slate Grey;#999999
P2 1580 20 80;Soft Graphite Grey;#808080
P2 1590 10 90;Soft Charcoal Grey;#666666
P2 1600 00 100;Soft Black Grey;#4D4D4D
P2 1610 90 10;Soft Pearl Beige;#FFF9F0
P2 1620 80 20;Soft Ivory Beige;#FFF0D9
P2 1630 70 30;Soft Sand Beige;#FFE6C9
P2 1640 60 40;Soft Almond Beige;#FFD9B3
P2 1650 50 50;Soft Biscuit Beige;#FFC999
P2 1660 40 60;Soft Caramel Beige;#FFB380
P2 1670 30 70;Soft Honey Beige;#FF9966
P2 1680 20 80;Soft Amber Beige;#FF804D
P2 1690 10 90;Soft Bronze Beige;#FF6633
P2 1700 00 100;Soft Copper Beige;#FF4C1A
P2 1710 90 10;Soft Lilac Grey;#F6F0F6
P2 1720 80 20;Soft Lavender Grey;#E0D9E0
P2 1730 70 30;Soft Violet Grey;#D9C9D9
P2 1740 60 40;Soft Plum Grey;#C9B3C9
P2 1750 50 50;Soft Grape Grey;#B399B3
P2 1760 40 60;Soft Aubergine Grey;#996699
P2 1770 30 70;Soft Deep Violet Grey;#804D80
P2 1780 20 80;Soft Eggplant Grey;#663366
P2 1790 10 90;Soft Black Violet;#4C1A4C
P2 1800 00 100;Soft Signal Violet;#330033
P2 1810 90 10;Soft Lemon Grey;#F6FFE6
P2 1820 80 20;Soft Lime Grey;#E0FFCC
P2 1830 70 30;Soft Apple Grey;#D9FFB3
P2 1840 60 40;Soft Pear Grey;#C9FF99
P2 1850 50 50;Soft Pistachio Grey;#B3FF80
P2 1860 40 60;Soft Avocado Grey;#99FF66
P2 1870 30 70;Soft Kiwi Grey;#80FF4D
P2 1880 20 80;Soft Chartreuse Grey;#66FF33
P2 1890 10 90;Soft Neon Green Grey;#4DFF1A
P2 1900 00 100;Soft Signal Green Grey;#33FF00
P2 1910 90 10;Soft Sky Grey;#E6F6FF
P2 1920 80 20;Soft Ice Blue Grey;#CCE0FF
P2 1930 70 30;Soft Glacier Grey;#B3D9FF
P2 1940 60 40;Soft Arctic Grey;#99C9FF
P2 1950 50 50;Soft Horizon Grey;#80B3FF
P2 1960 40 60;Soft Ocean Grey;#6699FF
P2 1970 30 70;Soft Deep Sky Grey;#4D80FF
P2 1980 20 80;Soft Sapphire Grey;#3366FF
P2 1990 10 90;Soft Royal Blue Grey;#1A4CFF
P2 2000 00 100;Soft Signal Blue Grey;#0033FF
